Model,Reaction ID,Reaction name,Subsystem,EC number,Minimum flux,Maximum flux,Flux range width,Range includes zero,Present in both models
Af,ASCTm,Acetate:succinate CoA-transferase,,,0.0455732073539334,0.1187597284353037,0.0731865210813702,no,yes
Af,MAR00019,Transport of cholesterol-ester pool (e to l),Extracellular transport,,0.0012329964304402,0.0015412455380503,0.00030824910761,no,yes
Af,MAR00021,,Artificial reactions,,0.0012329964304402,0.0015412455380503,0.00030824910761,no,yes
Af,MAR00022,,Artificial reactions,,0.0012329964304402,0.0015412455380503,0.00030824910761,no,yes
Af,MAR00023,,Artificial reactions,,0.000123299643044,0.000154124553805,3.0824910761006856e-05,no,yes
Af,MAR00031,,Pool reactions,,0.0012329964304402,0.0015412455380503,0.00030824910761,no,yes
Af,MAR00033,,Artificial reactions,,0.000123299643044,0.000154124553805,3.0824910761006856e-05,no,yes
Af,MAR00034,,Artificial reactions,,0.000123299643044,0.000154124553805,3.0824910761006856e-05,no,yes
Af,MAR00061,Acetate Mitochondrial Transport via Proton Symport,Mitochondrial transport,2.1.1.4,-0.1187597284353038,-0.0455732073539334,0.0731865210813703,no,yes
Af,MAR00089,Glucuronidated Compound Transport,Endoplasmic reticular transport,,0.000123299643044,0.000154124553805,3.0824910761006856e-05,no,yes
Af,MAR00090,Glucuronidated Compound Transport,Endoplasmic reticular transport,,-0.000154124553805,-0.000123299643044,3.0824910761006856e-05,no,yes
Af,MAR00108,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,Fatty acid oxidation,2.3.1.21,0.0,0.0014303946650537,0.0014303946650537,yes,no
Af,MAR00112,C226 Transport into the Mitochondria,Fatty acid oxidation,,0.0,0.0036412570988066,0.0036412570988066,yes,no
Af,MAR00129,Cardiolipin Synthase (Homo Sapiens),Glycerophospholipid metabolism,2.3.1.21,0.0016722072588284,0.0020902590735355,0.0004180518147071,no,yes
Af,MAR00142,Diacylglycerol Transport,Extracellular transport,2.7.1.107,0.0020097841816176,0.002512230227022,0.0005024460454044,no,yes
Af,MAR00145,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),Fatty acid biosynthesis,1.14.19.1,0.0,7.776903033301698e-05,7.776903033301698e-05,yes,no
Af,MAR00152,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),Fatty acid biosynthesis,1.14.99.25,0.0,0.0017729487272348,0.0017729487272348,yes,no
Af,MAR00181,Fatty Acyl Coenzyme A Desaturase (N-C20:3CoA -> N-C20:4CoA),Fatty acid biosynthesis,1.14.19.1,0.0,0.0019988492439164,0.0019988492439164,yes,no
Af,MAR00182,Transport of decanoyl-CoA (c to m),Mitochondrial transport,,0.0090160017563514,0.0152233387181363,0.0062073369617848,no,no
Af,MAR00186,Fatty Acyl Coenzyme A Desaturase (N-C20:4CoA -> N-C20:5CoA),Fatty acid biosynthesis,1.14.19.1,0.0,0.000207384080888,0.000207384080888,yes,no
Af,MAR00193,Tridecanoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00194,Transport of tridecylic acid (c to e),Extracellular transport,,0.0,3.703287158714881e-06,3.703287158714881e-06,yes,no
Af,MAR00214,Pentadecanoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00215,Transport of pentadecylic acid (c to e),Extracellular transport,,0.0,3.703287158714985e-06,3.703287158714985e-06,yes,no
Af,MAR00238,Heptadecanoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587150982e-06,3.7032871587150982e-06,yes,no
Af,MAR00239,Transport of margaric acid (c to e),Extracellular transport,,0.0,3.703287158714985e-06,3.703287158714985e-06,yes,no
Af,MAR00242,(10Z)-heptadecenoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00243,Transport of (10Z)-heptadecenoic acid (c to e),Extracellular transport,,0.0,3.703287158714985e-06,3.703287158714985e-06,yes,no
Af,MAR00246,9-heptadecenoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00247,Transport of 9-heptadecylenic acid (c to e),Extracellular transport,,0.0,3.703287158714985e-06,3.703287158714985e-06,yes,no
Af,MAR00272,(7Z)-octadecenoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00273,Transport of (7Z)-octadecenoic acid (c to e),Extracellular transport,,0.0,3.703287158714985e-06,3.703287158714985e-06,yes,no
Af,MAR00280,Nonadecanoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00281,Transport of nonadecylic acid (c to e),Extracellular transport,,0.0,3.7032871587150982e-06,3.7032871587150982e-06,yes,no
Af,MAR00310,Heneicosanoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00311,Transport of heneicosanoic acid (c to e),Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00328,Tricosanoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00329,Transport of tricosanoic acid (c to e),Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00332,Tetracosenoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00335,Transport of lignocerate (c to e),Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00338,(15Z)-tetracosenoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00339,Transport of nervonic acid (c to e),Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00342,Hexacosanoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00343,Transport of cerotic acid (c to e),Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00346,Hexacosenoyl-CoA hydrolase,Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00347,Transport of ximenic acid (c to e),Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00370,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA hydrolase",Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00371,"Transport of (9Z,12Z,15Z,18Z,21Z)-TPA (c to e)",Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00374,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA hydrolase",Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00375,"Transport of (6Z,9Z,12Z,15Z,18Z,21Z)-THA (c to e)",Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00394,"12,15,18,21-tetracosatetraenoyl-CoA hydrolase",Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00395,"Transport of 12,15,18,21-tetracosatetraenoic acid (c to e)",Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00418,"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA hydrolase",Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00419,"Transport of (9Z,12Z,15Z,18Z)-TTA (c to e)",Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00422,"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA hydrolase",Acyl-CoA hydrolysis,3.1.2.2,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00423,"Transport of (6Z,9Z,12Z,15Z,18Z)-TPA (c to e)",Extracellular transport,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
Af,MAR00569,Exchange of ATP,Exchange/demand reactions,,-0.4397572958630615,-0.0455345083326257,0.3942227875304358,no,yes
Af,MAR00574,Exchange of Diglyceride,Exchange/demand reactions,,-0.002512230227022,-0.0020097841816176,0.0005024460454044,no,yes
Af,MAR00578,Transport of acyl-CoA pool (c to m),Mitochondrial transport,,0.0033444145176568,0.004180518147071,0.0008361036294142,no,yes
Af,MAR00579,acyl-CoA:sn-glycerol-3-phosphate 1-O-acyltransferase,Glycerophospholipid metabolism,2.3.1.15,0.0016722072588284,0.0020902590735355,0.0004180518147071,no,yes
Af,MAR00580,acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase,Glycerophospholipid metabolism,2.3.1.51,0.0016722072588284,0.0020902590735355,0.0004180518147071,no,yes
Af,MAR00581,,Glycerophospholipid metabolism,2.7.7.41,0.0016722072588284,0.0020902590735355,0.0004180518147071,no,yes
Af,MAR00598,"1,2-diacyl-sn-glycerol 3-phosphate phosphohydrolase",Glycerophospholipid metabolism,3.1.3.4,0.000123299643044,0.000154124553805,3.0824910761006856e-05,no,yes
Af,MAR00604,"ATP:1,2-diacylglycerol 3-phosphotransferase",Acylglycerides metabolism,2.7.1.107,0.0012329964304402,0.0015412455380503,0.00030824910761,no,yes
Af,MAR00605,"acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase",Acylglycerides metabolism,2.3.1.20;2.3.1.22,0.0005425184293937,0.0006781480367421,0.0001356296073484,no,yes
Af,MAR00618,Exchange of Hexacosanoate (N-C26:0),Exchange/demand reactions,,0.0,3.703287158715101e-06,3.703287158715101e-06,yes,no
Af,MAR00620,Exchange of Heptadecanoate,Exchange/demand reactions,,0.0,3.7032871587151e-06,3.7032871587151e-06,yes,no
