GeneID1	GeneID2
ENSG00000001036	V3C99_017557
ENSG00000001084	V3C99_015237
ENSG00000002549	V3C99_014572
ENSG00000002587	V3C99_010508
ENSG00000003987	V3C99_007982
ENSG00000003989	V3C99_013404
ENSG00000004455	V3C99_006326
ENSG00000004478	V3C99_014162
ENSG00000004779	V3C99_007662
ENSG00000004799	V3C99_002895
ENSG00000004961	V3C99_010484
ENSG00000005075	V3C99_001940
ENSG00000005339	V3C99_002040
ENSG00000005421	V3C99_006365
ENSG00000005421	V3C99_006366
ENSG00000005469	V3C99_013759
ENSG00000005471	V3C99_006669
ENSG00000005471	V3C99_010198
ENSG00000005810	V3C99_016398
ENSG00000005882	V3C99_002895
ENSG00000006007	V3C99_000022
ENSG00000006695	V3C99_012881
ENSG00000007001	V3C99_000905
ENSG00000007168	V3C99_002224
ENSG00000007216	V3C99_002346
ENSG00000007216	V3C99_002695
ENSG00000007216	V3C99_010057
ENSG00000007314	V3C99_007763
ENSG00000007314	V3C99_017226
ENSG00000007541	V3C99_008671
ENSG00000007933	V3C99_005731
ENSG00000007933	V3C99_008333
ENSG00000008311	V3C99_008023
ENSG00000010256	V3C99_010272
ENSG00000011198	V3C99_003601
ENSG00000011405	V3C99_017290
ENSG00000012232	V3C99_000675
ENSG00000012660	V3C99_008382
ENSG00000012963	V3C99_006325
ENSG00000013375	V3C99_008305
ENSG00000013392	V3C99_001447
ENSG00000013503	V3C99_000162
ENSG00000014138	V3C99_001531
ENSG00000014641	V3C99_016268
ENSG00000016391	V3C99_012080
ENSG00000017260	V3C99_004038
ENSG00000017797	V3C99_005336
ENSG00000018510	V3C99_000194
ENSG00000018625	V3C99_015570
ENSG00000021461	V3C99_008127
ENSG00000023228	V3C99_013879
ENSG00000023909	V3C99_015095
ENSG00000023909	V3C99_015097
ENSG00000025423	V3C99_015840
ENSG00000025800	V3C99_019105
ENSG00000027847	V3C99_000313
ENSG00000030066	V3C99_004110
ENSG00000031698	V3C99_006811
ENSG00000033011	V3C99_001773
ENSG00000033100	V3C99_002661
